Prime	Target	Type	Lijst	Target (unr)
eten	menu	BA	7	afloop
geld	fortuin	BA	7	winters
zon	stralen	BA	5	best
man	vent	BA	1	rem
pijn	kwetsen	BA	8	vangen
zee	kust	BA	4	vent
koud	winters	BA	3	piloot
ik	zichzelf	BA	4	vrezen
bier	café	BA	1	stralen
koning	paleis	BA	1	alle
gevaarlijk	riskant	BA	3	vocht
auto	rem	BA	8	zes
foto	portret	BA	7	slagveld
meisje	griet	BA	6	paleis
heel	intact	BA	7	riskant
woord	term	BA	4	intact
boot	dek	BA	2	gauw
iedereen	alle	BA	2	bouwen
vliegtuig	piloot	BA	3	zij
lekker	koekjes	BA	6	elkaar
nat	vocht	BA	1	duizend
groot	ruim	BA	5	kwetsen
winkel	klant	BA	3	fortuin
schaken	zet	BA	6	menu
huis	bouwen	BA	7	griet
roddel	gerucht	BA	4	stap
oorlog	slagveld	BA	6	zet
einde	afloop	BA	8	klant
angst	vrezen	BA	2	zichzelf
goed	best	BA	3	ruim
vakantie	hotel	BA	2	jas
bal	vangen	BA	4	term
getal	zes	BA	2	kust
warm	jas	BA	5	gerucht
vrouw	zij	BA	5	café
veel	duizend	BA	5	portret
snel	gauw	BA	6	wieg
voet	stap	BA	8	hotel
samen	elkaar	BA	1	koekjes
alom	overal	Filler_SYM	8	overal
gazet	krant	Filler_SYM	7	krant
film	cinema	Filler_SYM	6	cinema
menselijk	humaan	Filler_SYM	1	humaan
bedrijf	firma	Filler_SYM	8	firma
duw	por	Filler_SYM	4	por
elastiek	rekker	Filler_SYM	4	rekker
egel	stekels	Filler_SYM	3	stekels
zie	kijk	Filler_SYM	6	kijk
hetzelfde	idem	Filler_SYM	8	idem
solden	koopjes	Filler_SYM	5	koopjes
respect	eerbied	Filler_SYM	5	eerbied
nek	hals	Filler_SYM	2	hals
kous	sok	Filler_SYM	4	sok
na	achter	Filler_SYM	1	achter
imiteren	nadoen	Filler_SYM	1	nadoen
tamelijk	nogal	Filler_SYM	7	nogal
wij	ons	Filler_SYM	3	ons
slak	traag	Filler_SYM	1	traag
eens	ooit	Filler_SYM	8	ooit
nee	ja	Filler_SYM	8	ja
via	langs	Filler_SYM	2	langs
larie	apekool	Filler_SYM	1	apekool
nauwelijks	amper	Filler_SYM	8	amper
voorwerp	ding	Filler_SYM	4	ding
gevolg	oorzaak	Filler_SYM	6	oorzaak
serie	reeks	Filler_SYM	1	reeks
streek	regio	Filler_SYM	2	regio
tevreden	content	Filler_SYM	2	content
dun	mager	Filler_SYM	2	mager
opdracht	taak	Filler_SYM	7	taak
gul	vrijgevig	Filler_SYM	6	vrijgevig
overschot	rest	Filler_SYM	1	rest
honing	bij	Filler_SYM	1	bij
roos	bloem	Filler_SYM	4	bloem
trottoir	stoep	Filler_SYM	3	stoep
gedicht	poëzie	Filler_SYM	6	poëzie
dief	stelen	Filler_SYM	5	stelen
moedig	dapper	Filler_SYM	4	dapper
krent	rozijn	Filler_SYM	4	rozijn
lef	durf	Filler_SYM	2	durf
bloed	rood	Filler_SYM	1	rood
nonsens	onzin	Filler_SYM	7	onzin
uitvoer	export	Filler_SYM	3	export
schrijven	pen	Filler_SYM	2	pen
bladzijde	pagina	Filler_SYM	7	pagina
merci	bedankt	Filler_SYM	7	bedankt
balans	evenwicht	Filler_SYM	7	evenwicht
ellende	miserie	Filler_SYM	5	miserie
gelukkig	blij	Filler_SYM	1	blij
order	bestelling	Filler_SYM	7	bestelling
automatisch	vanzelf	Filler_SYM	2	vanzelf
kantlijn	marge	Filler_SYM	3	marge
ogenblik	moment	Filler_SYM	8	moment
sein	teken	Filler_SYM	4	teken
zege	overwinning	Filler_SYM	2	overwinning
betrekkelijk	relatief	Filler_SYM	5	relatief
daar	hier	Filler_SYM	2	hier
onwettig	illegaal	Filler_SYM	8	illegaal
strepen	zebra	Filler_SYM	3	zebra
choco	boterham	Filler_SYM	3	boterham
eerroof	laster	Filler_SYM	5	laster
artiest	kunstenaar	Filler_SYM	5	kunstenaar
plus	min	Filler_SYM	6	min
wonder	mirakel	Filler_SYM	7	mirakel
klaar	af	Filler_SYM	5	af
kreupel	mank	Filler_SYM	5	mank
letters	alfabet	Filler_SYM	6	alfabet
eskimo	iglo	Filler_SYM	6	iglo
raam	venster	Filler_SYM	6	venster
data	gegevens	Filler_SYM	3	gegevens
genoeg	voldoende	Filler_SYM	4	voldoende
koraal	rif	Filler_SYM	8	rif
evenwijdig	parallel	Filler_SYM	4	parallel
verdieping	etage	Filler_SYM	8	etage
klemtoon	nadruk	Filler_SYM	6	nadruk
verschijnsel	fenomeen	Filler_SYM	3	fenomeen
raad	advies	Filler_SYM	3	advies
dwang	moeten	Filler_SYM	7	moeten
donker	nacht	Filler_SYM	5	nacht
cadeau	aketoer	PSW	5	aketoer
koe	flapour	PSW	4	flapour
goud	anvondig	PSW	1	anvondig
vulkaan	kagoon	PSW	4	kagoon
peper	twaald	PSW	3	twaald
streep	vret	PSW	1	vret
dozijn	tad	PSW	8	tad
parfum	wengra	PSW	4	wengra
paar	krink	PSW	5	krink
keer	det	PSW	6	det
altijd	kel	PSW	3	kel
heks	lemeer	PSW	1	lemeer
broer	gleemd	PSW	7	gleemd
schoen	slas	PSW	2	slas
huid	fom	PSW	1	fom
schuif	aaks	PSW	2	aaks
nier	heeg	PSW	7	heeg
kluns	afnis	PSW	5	afnis
punt	arsa	PSW	4	arsa
chaos	wix	PSW	7	wix
raar	plecees	PSW	6	plecees
lat	jiccus	PSW	2	jiccus
gast	beder	PSW	2	beder
deur	teden	PSW	8	teden
stoel	mansen	PSW	4	mansen
vouw	zijdeus	PSW	1	zijdeus
noord	raal	PSW	6	raal
kip	setest	PSW	4	setest
vaat	on	PSW	7	on
pluim	voben	PSW	3	voben
kaak	losen	PSW	8	losen
lucht	nenti	PSW	2	nenti
eenzaam	mororde	PSW	1	mororde
doos	krem	PSW	7	krem
midden	pupnel	PSW	4	pupnel
zeep	hetbaar	PSW	8	hetbaar
plots	delk	PSW	3	delk
dik	bepeek	PSW	2	bepeek
elegant	haben	PSW	6	haben
uur	wana	PSW	7	wana
excuseer	toestraat	PSW	6	toestraat
wel	mod	PSW	2	mod
onstabiel	broezig	PSW	5	broezig
koord	gaag	PSW	7	gaag
peil	inboen	PSW	5	inboen
karakter	reer	PSW	6	reer
als	gater	PSW	4	gater
echt	asseen	PSW	6	asseen
schrik	zigeau	PSW	1	zigeau
goesting	voom	PSW	6	voom
deugniet	ligzoord	PSW	8	ligzoord
fijn	ammels	PSW	7	ammels
optellen	deu	PSW	8	deu
peren	shehis	PSW	5	shehis
uitvlucht	zuif	PSW	2	zuif
verloren	zammer	PSW	1	zammer
vol	smee	PSW	6	smee
visite	mang	PSW	8	mang
eerlijk	need	PSW	8	need
fan	hamp	PSW	6	hamp
fout	oons	PSW	8	oons
pels	opbacht	PSW	3	opbacht
recht	bevef	PSW	4	bevef
kachel	prokliem	PSW	7	prokliem
oplossing	zekten	PSW	3	zekten
stukjes	soerrijk	PSW	2	soerrijk
talent	snacht	PSW	8	snacht
eigendom	pouw	PSW	1	pouw
nul	ekel	PSW	3	ekel
gevangenis	lijl	PSW	7	lijl
exact	doer	PSW	1	doer
sigaret	geschork	PSW	4	geschork
speech	roeter	PSW	5	roeter
triest	konton	PSW	3	konton
papa	cegstuf	PSW	8	cegstuf
sluw	hode	PSW	3	hode
leren	plaprak	PSW	8	plaprak
onduidelijk	zel	PSW	6	zel
elastisch	ores	PSW	5	ores
kamperen	schoel	PSW	4	schoel
geraamte	roeftijd	PSW	5	roeftijd
heren	vlaat	PSW	6	vlaat
een	lanes	PSW	2	lanes
situatie	golslienst	PSW	3	golslienst
bout	mas	PSW	7	mas
binnenkort	cil	PSW	6	cil
werkplaats	bane	PSW	1	bane
religie	geuk	PSW	3	geuk
blut	spok	PSW	5	spok
ouderdom	zolk	PSW	8	zolk
pro	neko	PSW	1	neko
voorbij	beng	PSW	4	beng
eindwerk	naat	PSW	2	naat
biljart	iroel	PSW	2	iroel
gierigaard	lomba	PSW	1	lomba
praal	leug	PSW	8	leug
west	smies	PSW	1	smies
mak	zitzer	PSW	2	zitzer
beta	steems	PSW	2	steems
bruto	tert	PSW	3	tert
groen	zan	PSW	7	zan
bos	oskaan	PSW	6	oskaan
sinds	taar	PSW	2	taar
nicht	kwijk	PSW	4	kwijk
wie	ineint	PSW	5	ineint
grap	ves	PSW	7	ves
oor	tat	PSW	6	tat
ijver	skerek	PSW	7	skerek
licht	blooi	PSW	5	blooi
mama	ee	PSW	5	ee
duivel	lansel	PSW	3	lansel
geroep	blaud	PSW	5	blaud
nooit	stoog	PSW	3	stoog
mevrouw	gacht	PSW	5	gacht
hoog	dur	PSW	4	dur
mengeling	paldin	PSW	1	paldin
clown	toeslond	PSW	8	toeslond
binnen	laam	PSW	3	laam
glitter	bevot	PSW	4	bevot
terwijl	gedoer	PSW	7	gedoer
